# Comprehensive bench manifest — comparable models × runtimes. Driver: scripts/comprehensive_bench.sh
# Columns: family<TAB>params<TAB>runtime<TAB>model_id<TAB>sideload_src<TAB>device_dest
#   sideload_src/device_dest = "-" → downloads on-device (needs WiFi); else side-load the Mac path to that dest.
#   CoreAI dest base = Documents/CoreAIModels/  ;  LiteRT dest base = Documents/models/litert-lm/
# EX = ~/code/coreai/coreai-models/exports ; O = ~/code/litertlm-convert/out
#
# ── Qwen3 family — the clean 3-way (Core AI / MLX / LiteRT), scales 0.6→8B ──
Qwen3	0.6B	core-ai	core-ai/qwen3-0.6b-ane	EX/qwen3_0_6b_ane_pure4bit	CoreAIModels/qwen3_0_6b_ane
Qwen3	0.6B	core-ai	core-ai/qwen3-0.6b-gpu	EX/qwen3_0_6b_gpu	CoreAIModels/qwen3_0_6b_gpu
Qwen3	0.6B	mlx	mlx-community/Qwen3-0.6B-4bit	-	-
Qwen3	0.6B	litert-lm	litert-community/Qwen3-0.6B	-	-
Qwen3	1.7B	core-ai	core-ai/qwen3-1.7b-ane	EX/qwen3_1_7b_ane_pure4bit	CoreAIModels/qwen3_1_7b_ane
Qwen3	1.7B	core-ai	core-ai/qwen3-1.7b-gpu	EX/qwen3_1_7b_gpu	CoreAIModels/qwen3_1_7b_gpu
Qwen3	1.7B	mlx	mlx-community/Qwen3-1.7B-4bit	-	-
Qwen3	1.7B	litert-lm	litert-local/qwen3-1.7b-int4	O/qwen3-1.7b-boctav4-c4k/model.litertlm	models/litert-lm/litert-local__Qwen3-1.7B-int4
Qwen3	4B	core-ai	core-ai/qwen3-4b-ane	EX/qwen3_4b_ane_pure4bit	CoreAIModels/qwen3_4b_ane
Qwen3	4B	core-ai	core-ai/qwen3-4b-gpu	EX/qwen3_4b_gpu	CoreAIModels/qwen3_4b_gpu
Qwen3	4B	mlx	mlx-community/Qwen3-4B-4bit	-	-
Qwen3	4B	litert-lm	litert-community/Qwen3-4B	-	-
Qwen3	8B	core-ai	core-ai/qwen3-8b-ane	EX/qwen3_8b_ane_pure4bit	CoreAIModels/qwen3_8b_ane
Qwen3	8B	core-ai	core-ai/qwen3-8b-gpu	EX/qwen3_8b_gpu	CoreAIModels/qwen3_8b_gpu
Qwen3	8B	mlx	mlx-community/Qwen3-8B-4bit	-	-
Qwen3	8B	litert-lm	litert-community/Qwen3-8B	-	-
# ── 1.5B reasoning set (Core AI / MLX / LiteRT; VibeThinker has no MLX repo) ──
DeepSeek-R1	1.5B	core-ai	core-ai/deepseek-r1-1.5b-ane	EX/deepseek_r1_1_5b_ane_pure4bit	CoreAIModels/deepseek_r1_1_5b_ane
DeepSeek-R1	1.5B	core-ai	core-ai/deepseek-r1-1.5b-gpu	EX/deepseek_r1_1_5b_gpu	CoreAIModels/deepseek_r1_1_5b_gpu
DeepSeek-R1	1.5B	mlx	mlx-community/DeepSeek-R1-Distill-Qwen-1.5B-4bit	-	-
DeepSeek-R1	1.5B	litert-lm	litert-community/DeepSeek-R1-Distill-Qwen-1.5B	-	-
TinySwallow	1.5B	core-ai	core-ai/tinyswallow-1.5b-ane	EX/tinyswallow_1_5b_ane_pure4bit	CoreAIModels/tinyswallow_1_5b_ane
TinySwallow	1.5B	core-ai	core-ai/tinyswallow-1.5b-gpu	EX/tinyswallow_1_5b_gpu	CoreAIModels/tinyswallow_1_5b_gpu
TinySwallow	1.5B	mlx	mlx-community/TinySwallow-1.5B-Instruct-4bit	-	-
TinySwallow	1.5B	litert-lm	litert-community/TinySwallow-1.5B-Instruct	-	-
VibeThinker	1.5B	core-ai	core-ai/vibethinker-1.5b-ane	EX/vibethinker_1_5b_ane_pure4bit	CoreAIModels/vibethinker_1_5b_ane
VibeThinker	1.5B	core-ai	core-ai/vibethinker-1.5b-gpu	EX/vibethinker_1_5b_gpu	CoreAIModels/vibethinker_1_5b_gpu
VibeThinker	1.5B	litert-lm	litert-community/VibeThinker-1.5B	-	-
# ── 3B (MLX vs LiteRT; no Core AI iOS class) — needs the memory entitlements (now in app) ──
Llama-3.2	3B	mlx	mlx-community/Llama-3.2-3B-Instruct-4bit	-	-
Llama-3.2	3B	litert-lm	litert-local/llama32-3b	O/llama32-3b-official-extemb/model.litertlm	models/litert-lm/litert-local__Llama-3.2-3B
SmolLM3	3B	mlx	mlx-community/SmolLM3-3B-4bit	-	-
SmolLM3	3B	litert-lm	litert-local/smollm3-3b	O/smollm3-3b-boctav4/model.litertlm	models/litert-lm/litert-local__SmolLM3-3B
Ministral	3B	mlx	mlx-community/Ministral-3-3B-Instruct-2512-4bit	-	-
Ministral	3B	litert-lm	litert-local/ministral3-3b	O/ministral3-3b-boctav4-extemb/model.litertlm	models/litert-lm/litert-local__Ministral-3-3B
OLMo-2	1B	litert-lm	litert-local/olmo2-1b	O/olmo2-1b-int8/model.litertlm	models/litert-lm/litert-local__OLMo-2-1B
# ── Gemma4 family (the campaign's original; MLX vs LiteRT vs CoreML-LLM) ──
Gemma4-E2B	2B-eff	mlx	mlx-community/gemma-4-e2b-it-4bit	-	-
Gemma4-E2B	2B-eff	litert-lm	litert-community/gemma-4-E2B-it-litert-lm	-	-
Gemma4-E4B	4B-eff	mlx	mlx-community/gemma-4-e4b-it-4bit	-	-
Gemma4-E4B	4B-eff	litert-lm	litert-community/gemma-4-E4B-it-litert-lm	-	-
